SKU,"Is Variantion Group","Variation SKU","Variantion Group Name","Item Title","Short Description","Retail Price",Category,Brand,Weight,Height,"Dim Width","Stock available level at location","Stock level at location","Stock minimum level at location",Colour,"Manufacturer Part Number",Location,Size,"Amazon AU Price","eBay AU Price","Amazon CA Price","eBay CA Price","Amazon US Price","eBay US Price","Amazon UK Price","eBay UK Price","Amazon DE Price","Amazon FR Price","Amazon IT Price","Amazon ES Price","eBay IE Price","Amazon AU Title","eBay AU Title","eBay US Title","eBay CA Title","eBay UK Title","eBay IE Title","Amazon US Title","Amazon UK Title","Amazon DE Title","Amazon CA Title","Amazon FR Title","Amazon IT Title","Amazon ES Title","Default Description","Amazon AU Description","Amazon US Description","Amazon UK Description","Amazon DE Description","Amazon CA Description","Amazon FR Description","Amazon IT Description","Amazon ES Description","SEO Title Tags","SEO Description Tags","Website Title",PrimaryImage,Image2,Image3,Image4,Image5,Image6,Image7
TUP00115MAS-CODE1,Yes,TUP00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food",,32.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,,TUP00115MAS-CODE1,Default,,20,20,155,155,66,66,98,98,77,77,77,77,77,"Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women","Butter Fly Pun Food Tshirts Funny Men Women",,,,,,,,,,"Butter Fly Pun Food | Chirstmas - Umbrella Ink","Discover thousands of Artist Designed Chirstmas T-shirts, look no further! Our tees are soft and high quality, they are all unique and great for Men Women Kids and Babies. We've got Hoodies, Mugs, Singlets, and Stickers and more!",,"[dropbox]/Production/UI/Tshirts/TUP00115MAS-CODE1-Butter Fly Pun Food/Images/TUP00115MAS-CODE1---Butter-Fly-Pun-Food.jpg",[dropbox]/sff2222.jpg,[dropbox]/sff1.jpg,[dropbox]/sff.jpg,[dropbox]/sff.jpg,[dropbox]/sff.jpg,[dropbox]/sff.jpg
TWP00115BKS-CODE1,No,TUP00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food Small Womens Black",,32.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,"Womens Black",TWP00115BKS-CODE1,Default,Small,20,20,155,155,66,66,98,98,77,77,77,77,77,"Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Tshirts Womens - Umbrella Ink","Discover thousands of Artist Designed Chirstmas T-shirts, look no further! Our tees are soft and high quality, they are all unique and great for Men Women Kids and Babies. We've got Hoodies, Mugs, Singlets, and Stickers and more!",,"[dropbox]/Production/UI/Tshirts/TUP00115MAS-CODE1-Butter Fly Pun Food/Images/TWP00115BKS-CODE1---Butter-Fly-Pun-Food-Black.jpg",,,,,,
TWP00115BKM-CODE1,No,TUP00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food Medium Womens Black",,32.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,"Womens Black",TWP00115BKM-CODE1,Default,Medium,20,20,155,155,66,66,98,98,77,77,77,77,77,"Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Tshirts Womens - Umbrella Ink","Discover thousands of Artist Designed Chirstmas T-shirts, look no further! Our tees are soft and high quality, they are all unique and great for Men Women Kids and Babies. We've got Hoodies, Mugs, Singlets, and Stickers and more!",,,,,,,,
TWP00115BKL-CODE1,No,TUP00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food Large Womens Black",,32.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,"Womens Black",TWP00115BKL-CODE1,Default,Large,20,20,155,155,66,66,98,98,77,77,77,77,77,"Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Tshirts Womens - Umbrella Ink","Discover thousands of Artist Designed Chirstmas T-shirts, look no further! Our tees are soft and high quality, they are all unique and great for Men Women Kids and Babies. We've got Hoodies, Mugs, Singlets, and Stickers and more!",,,,,,,,
TWP00115BK1-CODE1,No,TUP00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food XLarge Womens Black",,32.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,"Womens Black",TWP00115BK1-CODE1,Default,XLarge,20,20,155,155,66,66,98,98,77,77,77,77,77,"Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Tshirts Womens - Umbrella Ink","Discover thousands of Artist Designed Chirstmas T-shirts, look no further! Our tees are soft and high quality, they are all unique and great for Men Women Kids and Babies. We've got Hoodies, Mugs, Singlets, and Stickers and more!",,,,,,,,
TWP00115BK2-CODE1,No,TUP00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food 2XLarge Womens Black",,32.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,"Womens Black",TWP00115BK2-CODE1,Default,2XLarge,20,20,155,155,66,66,98,98,77,77,77,77,77,"Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Tshirts Womens - Umbrella Ink","Discover thousands of Artist Designed Chirstmas T-shirts, look no further! Our tees are soft and high quality, they are all unique and great for Men Women Kids and Babies. We've got Hoodies, Mugs, Singlets, and Stickers and more!",,,,,,,,
TWP00115BK3-CODE1,No,TUP00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food 3XLarge Womens Black",,32.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,"Womens Black",TWP00115BK3-CODE1,Default,3XLarge,20,20,155,155,66,66,98,98,77,77,77,77,77,"Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Black",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Tshirts Womens - Umbrella Ink","Discover thousands of Artist Designed Chirstmas T-shirts, look no further! Our tees are soft and high quality, they are all unique and great for Men Women Kids and Babies. We've got Hoodies, Mugs, Singlets, and Stickers and more!",,,,,,,,
TWP00115WHS-CODE1,No,TUP00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food Small Womens White",,32.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,"Womens White",TWP00115WHS-CODE1,Default,Small,20,20,155,155,66,66,98,98,77,77,77,77,77,"Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Tshirts Womens - Umbrella Ink","Discover thousands of Artist Designed Chirstmas T-shirts, look no further! Our tees are soft and high quality, they are all unique and great for Men Women Kids and Babies. We've got Hoodies, Mugs, Singlets, and Stickers and more!",,"[dropbox]/Production/UI/Tshirts/TUP00115MAS-CODE1-Butter Fly Pun Food/Images/TWP00115WHS-CODE1---Butter-Fly-Pun-Food-White.jpg",,,,,,
TWP00115WHM-CODE1,No,TUP00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food Medium Womens White",,32.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,"Womens White",TWP00115WHM-CODE1,Default,Medium,20,20,155,155,66,66,98,98,77,77,77,77,77,"Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Tshirts Womens - Umbrella Ink","Discover thousands of Artist Designed Chirstmas T-shirts, look no further! Our tees are soft and high quality, they are all unique and great for Men Women Kids and Babies. We've got Hoodies, Mugs, Singlets, and Stickers and more!",,,,,,,,
TWP00115WHL-CODE1,No,TUP00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food Large Womens White",,32.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,"Womens White",TWP00115WHL-CODE1,Default,Large,20,20,155,155,66,66,98,98,77,77,77,77,77,"Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Tshirts Womens - Umbrella Ink","Discover thousands of Artist Designed Chirstmas T-shirts, look no further! Our tees are soft and high quality, they are all unique and great for Men Women Kids and Babies. We've got Hoodies, Mugs, Singlets, and Stickers and more!",,,,,,,,
TWP00115WH1-CODE1,No,TUP00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food XLarge Womens White",,32.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,"Womens White",TWP00115WH1-CODE1,Default,XLarge,20,20,155,155,66,66,98,98,77,77,77,77,77,"Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Tshirts Womens - Umbrella Ink","Discover thousands of Artist Designed Chirstmas T-shirts, look no further! Our tees are soft and high quality, they are all unique and great for Men Women Kids and Babies. We've got Hoodies, Mugs, Singlets, and Stickers and more!",,,,,,,,
TWP00115WH2-CODE1,No,TUP00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food 2XLarge Womens White",,32.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,"Womens White",TWP00115WH2-CODE1,Default,2XLarge,20,20,155,155,66,66,98,98,77,77,77,77,77,"Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Tshirts Womens - Umbrella Ink","Discover thousands of Artist Designed Chirstmas T-shirts, look no further! Our tees are soft and high quality, they are all unique and great for Men Women Kids and Babies. We've got Hoodies, Mugs, Singlets, and Stickers and more!",,,,,,,,
TWP00115WH3-CODE1,No,TUP00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food 3XLarge Womens White",,32.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,"Womens White",TWP00115WH3-CODE1,Default,3XLarge,20,20,155,155,66,66,98,98,77,77,77,77,77,"Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens White",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Tshirts Womens - Umbrella Ink","Discover thousands of Artist Designed Chirstmas T-shirts, look no further! Our tees are soft and high quality, they are all unique and great for Men Women Kids and Babies. We've got Hoodies, Mugs, Singlets, and Stickers and more!",,,,,,,,
TWP00115RDS-CODE1,No,TUP00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food Small Womens Red",,32.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,"Womens Red",TWP00115RDS-CODE1,Default,Small,20,20,155,155,66,66,98,98,77,77,77,77,77,"Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Tshirts Womens - Umbrella Ink","Discover thousands of Artist Designed Chirstmas T-shirts, look no further! Our tees are soft and high quality, they are all unique and great for Men Women Kids and Babies. We've got Hoodies, Mugs, Singlets, and Stickers and more!",,"[dropbox]/Production/UI/Tshirts/TUP00115MAS-CODE1-Butter Fly Pun Food/Images/TWP00115RDS-CODE1---Butter-Fly-Pun-Food-Red.jpg",,,,,,
TWP00115RDM-CODE1,No,TUP00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food Medium Womens Red",,32.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,"Womens Red",TWP00115RDM-CODE1,Default,Medium,20,20,155,155,66,66,98,98,77,77,77,77,77,"Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Tshirts Womens - Umbrella Ink","Discover thousands of Artist Designed Chirstmas T-shirts, look no further! Our tees are soft and high quality, they are all unique and great for Men Women Kids and Babies. We've got Hoodies, Mugs, Singlets, and Stickers and more!",,,,,,,,
TWP00115RDL-CODE1,No,TUP00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food Large Womens Red",,32.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,"Womens Red",TWP00115RDL-CODE1,Default,Large,20,20,155,155,66,66,98,98,77,77,77,77,77,"Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Tshirts Womens - Umbrella Ink","Discover thousands of Artist Designed Chirstmas T-shirts, look no further! Our tees are soft and high quality, they are all unique and great for Men Women Kids and Babies. We've got Hoodies, Mugs, Singlets, and Stickers and more!",,,,,,,,
TWP00115RD1-CODE1,No,TUP00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food XLarge Womens Red",,32.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,"Womens Red",TWP00115RD1-CODE1,Default,XLarge,20,20,155,155,66,66,98,98,77,77,77,77,77,"Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Tshirts Womens - Umbrella Ink","Discover thousands of Artist Designed Chirstmas T-shirts, look no further! Our tees are soft and high quality, they are all unique and great for Men Women Kids and Babies. We've got Hoodies, Mugs, Singlets, and Stickers and more!",,,,,,,,
TWP00115RD2-CODE1,No,TUP00115MAS-CODE1,"Butter Fly Pun Food","Butter Fly Pun Food 2XLarge Womens Red",,32.00,Chirstmas,"Umbrella Ink",0.20,,,9999999,9999999,,"Womens Red",TWP00115RD2-CODE1,Default,2XLarge,20,20,155,155,66,66,98,98,77,77,77,77,77,"Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red","Butter Fly Pun Food Mugs Funny Joke Gift Birthday Womens Red",,,,,,,,,,"Butter Fly Pun Food | Chirstmas Tshirts Womens - Umbrella Ink","Discover thousands of Artist Designed Chirstmas T-shirts, look no further! Our tees are soft and high quality, they are all unique and great for Men Women Kids and Babies. We've got Hoodies, Mugs, Singlets, and Stickers and more!",,,,,,,,
